Q1. 下列哪个物理量的单位是牛顿？
A: 相等

Q79. 光从一种介质斜射入另一种介质时，传播方向会发生___。
A: 偏折（或改变）

Q80. 电荷间相互作用的规律是：同种电荷相互___，异种电荷相互吸引。
A: 排斥

Q81. 一个物体质量是500g，体积是250cm³，则该物体的密度为___g/cm³。
A: 2

Q82. 用动滑轮匀速提升重物时，如果拉力是50N，则物体的重力是___N。（不计滑轮重和摩擦）
A: 100

Q83. 一个电阻为10Ω的导体，通过它的电流为2A，则它两端的电压为___V。
A: 20

Q84. 某用电器的功率为1000W，正常工作1min消耗的电能为___J。
A: 60000（或6×10⁴）

Q85. 一个物体在水平面上受到8N的拉力做匀速直线运动，则它受到的摩擦力为___N。
A: 8

Q86. 两个定值电阻R₁=5Ω，R₂=15Ω，串联后的总电阻为___Ω。
A: 20

Q87. 一个"220V 1000W"的电水壶正常工作时的电流约为___A。（结果保留一位小数）
A: 4.5

Q88. 用刻度尺测量物体长度时，读数应估读到分度值的___。
A: 下一位

Q89. 汽油机的一个工作循环包括吸气、压缩、___和排气四个冲程。
A: 做功

Q90. 在探究串联电路电压规律的实验中，总电压等于各部分电路两端电压之___。
A: 和

Q91. 下列关于惯性和力的说法正确的是？
A. 物体受力越大，惯性越小
B. 不受力的物体没有惯性
C. 力是改变物体运动状态的原因
D. 力是维持物体运动的原因
A: C

Q92. 下列关于温度和热量的关系正确的是？
A. 温度高的物体热量一定多
B. 温度相同的物体热量相同
C. 热量是物体在热传递过程中内能的改变量
D. 温度就是热量
A: C

Q93. 下列关于机械效率的说法正确的是？
A. 机械效率可以大于100%
B. 机械效率越高，做的有用功越多
C. 机械效率是有用功与总功的比值
D. 机械效率与做功快慢有关
A: C

Q94. 下列关于导体和绝缘体的说法正确的是？
A. 导体容易导电是因为有大量自由电子
B. 绝缘体在任何情况下都不导电
C. 导体和绝缘体之间没有绝对界限
D. 橡胶、玻璃、大地都是绝缘体
A: C

Q95. 下列关于核能的说法正确的是？（多选）
A. 核能是原子核发生变化时释放的能量
B. 核电站利用核裂变发电
C. 核聚变释放的能量比核裂变大
D. 核能是可再生能源
A: A,B,C

Q96. 下列关于能源的说法正确的是？（多选）
A. 化石能源是不可再生能源
B. 核能、太阳能、风能都是新能源
C. 大量使用化石能源会造成环境污染
D. 未来理想的能源应该清洁、安全、可再生
A: A,B,C,D

Q97. 下列关于实验误差的说法正确的是？（多选）
A. 误差是不可避免的
B. 多次测量求平均值可以减小误差
C. 误差就是错误
D. 选用精密仪器可以减小误差
A: A,B,D

Q98. 下列关于运动和力的关系正确的是？（多选）
A. 物体不受力时保持静止或匀速直线运动
B. 物体受力时运动状态一定改变
C. 物体受平衡力时保持静止或匀速直线运动
D. 力是改变物体运动状态的原因
A: A,C,D

Q99. 关于热值的说法，正确的是？（多选）
A. 热值是燃料完全燃烧时放出的热量
B. 热值是燃料的一种特性
C. 热值的单位是J/kg
D. 不同燃料的热值一般不同
A: B,C,D

Q100. 下列关于能量转化的说法正确的是？（多选）
A. 电动机将电能转化为机械能
B. 发电机将机械能转化为电能
C. 太阳能电池将光能转化为电能
D. 蓄电池充电时将化学能转化为电能
A: A,B,C
